run_id,date,who,what_changed,main_metric,value,seed,notes,stage,model,n_features,n_train,n_test
R059,2026-09-12,Naman,planning / size_mean,MAE,5.926,7,"RMSE 7.316, R2 0.7180, MAE exterior 5.911 / interior 5.965",planning,size_mean,3,31441,7861
R060,2026-09-12,Naman,planning / linear,MAE,5.9263,7,"RMSE 7.316, R2 0.7180, MAE exterior 5.911 / interior 5.965",planning,linear,3,31441,7861
R061,2026-09-12,Naman,planning / gbm,MAE,5.9261,7,"RMSE 7.316, R2 0.7180, MAE exterior 5.911 / interior 5.964",planning,gbm,3,31441,7861
R062,2026-09-12,Naman,onsite / size_mean,MAE,2.3994,7,"RMSE 3.004, R2 0.9525, MAE exterior 2.405 / interior 2.384",onsite,size_mean,6,31441,7861
R063,2026-09-12,Naman,onsite / linear,MAE,2.3999,7,"RMSE 3.004, R2 0.9525, MAE exterior 2.406 / interior 2.385",onsite,linear,6,31441,7861
R064,2026-09-12,Naman,onsite / gbm,MAE,2.3991,7,"RMSE 3.003, R2 0.9525, MAE exterior 2.405 / interior 2.384",onsite,gbm,6,31441,7861
R065,2026-09-12,Naman,size_only / global_mean,MAE,11.1772,8,"RMSE 13.650, R2 -0.0000, MAE exterior 10.200 / interior 13.651",size_only,global_mean,2,31441,7861
R066,2026-09-12,Naman,size_only / size_mean,MAE,8.9202,8,"RMSE 10.914, R2 0.3607, MAE exterior 7.253 / interior 13.141",size_only,size_mean,2,31441,7861
R067,2026-09-12,Naman,planning / size_mean,MAE,5.8908,8,"RMSE 7.252, R2 0.7177, MAE exterior 5.919 / interior 5.820",planning,size_mean,3,31441,7861
R068,2026-09-12,Naman,planning / linear,MAE,5.8913,8,"RMSE 7.254, R2 0.7176, MAE exterior 5.918 / interior 5.824",planning,linear,3,31441,7861
R069,2026-09-12,Naman,planning / gbm,MAE,5.8909,8,"RMSE 7.252, R2 0.7177, MAE exterior 5.919 / interior 5.819",planning,gbm,3,31441,7861
R070,2026-09-12,Naman,onsite / size_mean,MAE,2.3779,8,"RMSE 2.975, R2 0.9525, MAE exterior 2.373 / interior 2.389",onsite,size_mean,6,31441,7861
R071,2026-09-12,Naman,onsite / linear,MAE,2.3764,8,"RMSE 2.972, R2 0.9526, MAE exterior 2.373 / interior 2.385",onsite,linear,6,31441,7861
R072,2026-09-12,Naman,onsite / gbm,MAE,2.3786,8,"RMSE 2.975, R2 0.9525, MAE exterior 2.374 / interior 2.391",onsite,gbm,6,31441,7861
R073,2026-09-12,Naman,size_only / global_mean,MAE,11.2125,9,"RMSE 13.710, R2 -0.0002, MAE exterior 10.290 / interior 13.505",size_only,global_mean,2,31441,7861
R074,2026-09-12,Naman,size_only / size_mean,MAE,9.0265,9,"RMSE 11.016, R2 0.3543, MAE exterior 7.367 / interior 13.153",size_only,size_mean,2,31441,7861
R075,2026-09-12,Naman,planning / size_mean,MAE,5.966,9,"RMSE 7.360, R2 0.7118, MAE exterior 5.938 / interior 6.034",planning,size_mean,3,31441,7861
R076,2026-09-12,Naman,planning / linear,MAE,5.9661,9,"RMSE 7.361, R2 0.7117, MAE exterior 5.938 / interior 6.035",planning,linear,3,31441,7861
R077,2026-09-12,Naman,planning / gbm,MAE,5.9661,9,"RMSE 7.361, R2 0.7117, MAE exterior 5.939 / interior 6.034",planning,gbm,3,31441,7861
R078,2026-09-12,Naman,onsite / size_mean,MAE,2.4224,9,"RMSE 3.016, R2 0.9516, MAE exterior 2.432 / interior 2.398",onsite,size_mean,6,31441,7861
R079,2026-09-12,Naman,onsite / linear,MAE,2.4209,9,"RMSE 3.015, R2 0.9516, MAE exterior 2.432 / interior 2.394",onsite,linear,6,31441,7861
R080,2026-09-12,Naman,onsite / gbm,MAE,2.4227,9,"RMSE 3.017, R2 0.9516, MAE exterior 2.433 / interior 2.397",onsite,gbm,6,31441,7861
